top - 01:55:04 up  1:00,  0 users,  load average: 1.67, 1.61, 1.31
Tasks: 327 total,   2 running, 247 sleeping,   0 stopped,   0 zombie
%Cpu(s): 29.9 us, 16.4 sy,  0.0 ni, 50.0 id,  3.7 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem : 16082196 total, 10305780 free,  2488192 used,  3288224 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used. 12771592 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  13494 atlas     20   0 1060456  14616   8168 R 268.8  0.1   0:00.43 python3
  13400 atlas     20   0  453016  15364   1180 S  56.2  0.1   0:00.19 squashfu+
   4055 atlas     20   0 5266940 206680 114704 S   6.2  1.3   1:26.74 cinnamon
   4431 atlas     20   0 1411.3g 366724 117732 S   6.2  2.3   4:38.24 code
  13484 atlas     20   0   58040   3904   3240 R   6.2  0.0   0:00.01 top
      1 65534     20   0  166736  11980   8240 S   0.0  0.1   0:01.16 systemd
      2 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 kthreadd
      3 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
      4 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_+
      5 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 slub_flu+
      6 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
      8 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/+
     10 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percp+
     11 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_task+
     12 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_task+
     13 65534     20   0       0      0      0 S   0.0  0.0   0:00.04 ksoftirq+
     14 65534     20   0       0      0      0 I   0.0  0.0   0:02.41 rcu_sched
     15 65534     rt   0       0      0      0 S   0.0  0.0   0:00.01 migratio+
     16 65534    -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inj+
     17 65534     20   0       0      0      0 I   0.0  0.0   0:00.56 kworker/+
     18 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
     19 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
     20 65534    -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inj+
     21 65534     rt   0       0      0      0 S   0.0  0.0   0:00.11 migratio+
     22 65534     20   0       0      0      0 S   0.0  0.0   0:02.89 ksoftirq+
     24 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/+
     25 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
     26 65534    -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inj+
     27 65534     rt   0       0      0      0 S   0.0  0.0   0:00.11 migratio+
     28 65534     20   0       0      0      0 S   0.0  0.0   0:00.04 ksoftirq+
     30 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/+
     31 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
     32 65534    -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inj+
     33 65534     rt   0       0      0      0 S   0.0  0.0   0:00.11 migratio+
     34 65534     20   0       0      0      0 S   0.0  0.0   0:00.03 ksoftirq+
     36 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/+
     37 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/4
     38 65534    -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inj+
     39 65534     rt   0       0      0      0 S   0.0  0.0   0:00.12 migratio+
     40 65534     20   0       0      0      0 S   0.0  0.0   0:00.05 ksoftirq+
     42 65534      0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/+
     43 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/5
     44 65534    -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inj+
     45 65534     rt   0       0      0      0 S   0.0  0.0   0:00.11 migratio+
