procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 10319312 122724 3154724    0    0    88    26  724  684  5  1 94  0  0
 1  1      0 10214288 122740 3211396    0    0   172   252 5811 21237 20  9 68  4  0
 1  1      0 10040736 122756 3334876    0    0     0    88 1805 11473 13  2 77  8  0
 1  0      0 9958340 122756 3371960    0    0     0     0 9501 23891 17  9 71  3  0
 1  0      0 9903588 122756 3397840    0    0     0     0 10880 35489 12  3 83  2  0
 1  0      0 9662328 122756 3417472    0    0     0     0 11471 15917 13  2 83  1  0
 2  0      0 9350632 122756 3415032    0    0     0     0 11783 4442 13  1 86  0  0
 1  1      0 8764504 122760 3419100    0    0     0    92 11201 8631 14  3 83  1  0
 1  0      0 8707936 122764 3437492    0    0     0     0 10862 4994 13  3 84  0  0
 1  0      0 8763492 122764 3438820    0    0     0     0 10365 9366 19  7 74  0  0
 1  0      0 8756216 122764 3438784    0    0     0     0 6448 5182 14  1 85  0  0
 1  0      0 8768056 122764 3432916    0    0     0   684 11276 12115 17  3 80  0  0
 3  1      0 8760844 122772 3433764    0    0     0   392 11910 13181 19  2 79  0  0
12  0      0 8754872 122788 3438176    0    0     0   484 7267 6327 17  2 82  0  0
 2  0      0 8753656 122788 3438432    0    0     0     0 14350 10300 20  2 79  0  0
 1  0      0 8253788 122812 3448448    0    0     0  6804 10706 6804 11  6 82  1  0
 1  0      0 8158572 122812 3446728    0    0     0     0 4718 8626 16  2 82  0  0
 1  0      0 8658936 122812 3446776    0    0     0     0 2741 3080 13  1 86  0  0
 0  0      0 8634316 122812 3451584    0    0     0     0 4016 7603 15  2 82  0  0
10  0      0 8435308 122812 3457152    0    0     0     0 8973 24175 65  5 29  1  0
 8  0      0 8388196 122824 3454624    0    0     0   192 4952 9247 93  2  5  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 8368068 122824 3454648    0    0     0     0 4690 8478 93  2  5  0  0
 8  0      0 8339392 122824 3454648    0    0     0     0 4498 7934 94  2  4  0  0
 8  0      0 8334952 122824 3457772    0    0     0     0 4880 8307 94  2  4  0  0
 1  0      0 8322624 122824 3457912    0    0     0    12 4291 7503 86  1 13  0  0
 0  0      0 9995792 122832 3470708    0    0     0   124 2090 5487  9  2 88  1  0
 1  0      0 9983444 122832 3482148    0    0     0     0 2851 7546  3  2 96  0  0
